ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
1017	FTI	6/15/2001	59.76	"FMC Technologies, Inc."	NYSE	"Metal Fabrications"	"Energy"
1018	FTK	7/27/2005	31.96	"Flotek Industries, Inc."	NYSE	"Major Chemicals"	"Basic Industries"
1019	FTNT	11/18/2009	28.18	"Fortinet, Inc."	NASDAQ	"Computer peripheral equipment"	"Technology"
1020	FTR	7/25/2008	39.31	"Frontier Communications Corporation"	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
1021	FUL	12/2/2002	42.9	"H. B. Fuller Company"	NYSE	"Home Furnishings"	"Basic Industries"
1022	FULT	1/2/1998	51.93	"Fulton Financial Corporation"	NASDAQ	"Major Banks"	"Finance"
1023	FUR	1/2/1998	23.27	"Winthrop Realty Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1024	FVE	1/2/2002	24.31	"Five Star Quality Care, Inc."	NASDAQ	"Hospital/Nursing Management"	"Health Care"
1025	FWRD	8/27/1998	38.29	"Forward Air Corporation"	NASDAQ	"Oil Refining/Marketing"	"Transportation"
1026	FXCB	10/2/2006	4.04	"Fox Chase Bancorp, Inc."	NASDAQ	"Savings & Loans"	"Financial"
1027	FXCM	12/2/2010	16.45	"FXCM Inc."	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
1028	G	8/2/2007	32.2	"Genpact Limited"	NYSE	"Professional Services"	"Consumer Services"
1029	GABC	1/5/1998	5.49	"German American Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
1030	GAIA	10/29/1999	15.43	"Gaia, Inc."	NASDAQ	"Movies/Entertainment"	"Consumer Services"
1031	GAIN	6/23/2005	15.7	"Gladstone Investment Corporation"	NASDAQ	""	""
1032	GALE	3/12/2008	20.29	"Galena Biopharma, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
1033	GARS	3/27/2013	2.82	"Garrison Capital Inc."	NASDAQ	""	""
1034	GAS	2/9/2009	27.61	"AGL Resources, Inc. Common Stoc"	NYSE	"Gas Utilities"	"Utilities"
1035	GB	9/29/2000	35.41	"Greatbatch, Inc. Common Stock"	NYSE	"Medical Appliances & Equipment"	"Healthcare"
1036	GBCI	1/2/1998	40.23	"Glacier Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
1037	GBDC	4/15/2010	11.88	"Golub Capital BDC, Inc."	NASDAQ	""	""
1038	GBL	2/11/1999	15.68	"Gamco Investors, Inc."	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
1039	GBLI	11/27/2009	4.64	"Global Indemnity plc"	NASDAQ	"Property-Casualty Insurers"	"Finance"
1040	GBNK	5/12/2008	7.22	"Guaranty Bancorp"	NASDAQ	"Major Banks"	"Finance"
1041	GBX	1/2/1998	39.44	"Greenbrier Companies, Inc. (The)"	NYSE	"Railroads"	"Capital Goods"
1042	GCAP	12/15/2010	10.22	"GAIN Capital Holdings, Inc."	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
1043	GCI	6/29/2015	4.56	"TEGNA Inc."	NYSE	"Newspapers/Magazines"	"Consumer Services"
1044	GCO	1/2/1998	45.53	"Genesco Inc."	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
1045	GD	1/2/1998	74.15	"General Dynamics Corporation"	NYSE	"Marine Transportation"	"Capital Goods"
1046	GDOT	7/22/2010	18.61	"Green Dot Corporation"	NYSE	"Finance: Consumer Services"	"Finance"
1047	GE	1/2/1998	99.27	"General Electric Company"	NYSE	"Consumer Electronics/Appliances"	"Energy"
1048	GEF	10/7/2002	33.06	"Greif Bros. Corporation"	NYSE	""	""
1049	GEN	5/2/2001	51.88	"Genesis Healthcare, Inc."	NYSE	"Hospital/Nursing Management"	"Health Care"
1050	GEO	1/2/1998	43.64	"Geo Group Inc (The)"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1051	GEOS	1/2/1998	18.14	"Geospace Technologies Corporation"	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
1052	GERN	1/2/1998	62.89	"Geron Corporation"	NASDAQ	"Major Pharmaceuticals"	"Health Care"
1053	GES	1/2/1998	53.4	"Guess, Inc."	NYSE	"Apparel"	"Consumer Non-Durables"
1054	GEVO	2/9/2011	13.05	"Gevo, Inc."	NASDAQ	"Major Chemicals"	"Basic Industries"
1055	GFF	1/2/1998	37.76	"Griffon Corporation"	NYSE	"Building Products"	"Capital Goods"
1056	GGG	1/2/1998	48.57	"Graco Inc."	NYSE	"Fluid Controls"	"Capital Goods"
1057	GGP	3/5/2010	28.88	"General Growth Properties, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1058	GHDX	9/29/2005	24.44	"Genomic Health, Inc."	NASDAQ	"Medical Specialities"	"Health Care"
1059	GHL	5/6/2004	36.65	"Greenhill & Co., Inc."	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
1060	GHM	1/2/1998	14.49	"Graham Corporation"	NYSE	"Industrial Machinery/Components"	"Technology"
1061	GIFI	1/2/1998	23.92	"Gulf Island Fabrication, Inc."	NASDAQ	"Metal Fabrications"	"Capital Goods"
1062	GIII	1/2/1998	25.62	"G-III Apparel Group, LTD."	NASDAQ	"Apparel"	"Consumer Non-Durables"
1063	GILD	1/2/1998	83.52	"Gilead Sciences, Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
1064	GIS	1/2/1998	77.08	"General Mills, Inc."	NYSE	"Packaged Foods"	"Consumer Non-Durables"
1065	GK	1/23/2006	18.36	"G&K Services, Inc."	NASDAQ	"Other Consumer Services"	"Consumer Services"
1066	GLAD	8/2/2002	19.83	"Gladstone Capital Corporation"	NASDAQ	""	""
1067	GLBL	8/3/2015	3.8	"TerraForm Global, Inc."	NASDAQ	"Electric Utilities: Central"	"Public Utilities"
1068	GLCH	11/27/2009	7.06	"Gleacher & Company, Inc."	NASDAQ	"Investment Brokerage - Regional"	"Financial"
1069	GLDD	12/27/2006	24.65	"Great Lakes Dredge & Dock Corporation"	NASDAQ	"Military/Government/Technical"	"Basic Industries"
1070	GLF	7/20/2007	26.48	"GulfMark Offshore, Inc."	NYSE	"Metal Fabrications"	"Energy"
1071	GLNG	7/15/2003	38.03	"Golar LNG Limited"	NASDAQ	"Marine Transportation"	"Consumer Services"
1072	GLOG	3/30/2012	13.94	"GasLog LP."	NYSE	"Marine Transportation"	"Consumer Services"
1073	GLPW	2/19/2008	6.79	"Global Power Equipment Group In"	NASDAQ	"Diversified Machinery"	"Industrial Goods"
1074	GLRE	5/24/2007	17.62	"Greenlight Reinsurance, Ltd."	NASDAQ	"Property-Casualty Insurers"	"Finance"
1075	GLT	11/12/1998	42.25	"Glatfelter"	NYSE	"Paper"	"Basic Industries"
1076	GLUU	3/22/2007	25.19	"Glu Mobile Inc."	NASDAQ	"EDP Services"	"Technology"
1077	GLW	1/2/1998	87.31	"Corning Incorporated"	NYSE	"Telecommunications Equipment"	"Basic Industries"
1078	GM	11/18/2010	27.72	"General Motors Company"	NYSE	"Auto Manufacturing"	"Capital Goods"
1079	GMAN	8/5/2010	6.66	"Gordmans Stores, Inc."	NASDAQ	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
1080	GME	5/10/2002	58.16	"Gamestop Corporation"	NYSE	"Electronics Distribution"	"Consumer Services"
1081	GMED	8/3/2012	12.58	"Globus Medical, Inc."	NYSE	"Medical/Dental Instruments"	"Health Care"
1082	GMET	7/28/2006	6.03	"GeoMet, Inc."	NASDAQ	"Oil & Gas Drilling & Exploration"	"Basic Materials"
1083	GMO	8/16/2006	21.95	"General Moly, Inc"	AMEX	"Precious Metals"	"Basic Industries"
1084	GMT	1/2/1998	54.32	"Gatx Corp"	NYSE	""	""
1085	GNC	4/1/2011	21.53	"GNC Holdings, Inc."	NYSE	"Food Chains"	"Consumer Non-Durables"
1086	GNCMA	1/2/1998	31.46	"General Communication, Inc."	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
1087	GNE	10/26/2011	5.91	"Genie Energy Ltd."	NYSE	"Power Generation"	"Public Utilities"
1088	GNK	7/20/2015	1.12	"Genco Shipping & Trading Limited Warrants Expiring 12/31/2021"	NYSE	"Marine Transportation"	"Transportation"
1089	GNMK	5/28/2010	9.42	"GenMark Diagnostics, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
1090	GNRC	2/11/2010	20.23	"Generac Holdlings Inc."	NYSE	"Metal Fabrications"	"Consumer Durables"
1091	GNTX	1/2/1998	69.17	"Gentex Corporation"	NASDAQ	"Auto Parts:O.E.M."	"Capital Goods"
1092	GNW	5/25/2004	52.99	"Genworth Financial Inc"	NYSE	"Life Insurance"	"Finance"
1093	GOOD	8/14/2003	10.6	"Gladstone Commercial Corporation"	NASDAQ	"Real Estate"	"Consumer Services"
1094	GOOG	3/27/2014	11.63	"Alphabet Inc."	NASDAQ	"Computer Software: Programming, Data Processing"	"Technology"
1095	GOOGL	8/19/2004	67.17	"Alphabet Inc."	NASDAQ	"Computer Software: Programming, Data Processing"	"Technology"
1096	GORO	9/14/2006	21.26	"Gold Resource Corporation"	AMEX	"Precious Metals"	"Basic Industries"
1097	GOV	6/4/2009	24.36	"Government Properties Income Trust"	NASDAQ	"Real Estate"	"Finance"
1098	GPC	1/2/1998	65.97	"Genuine Parts Company"	NYSE	"Automotive Aftermarket"	"Capital Goods"
1099	GPI	1/2/1998	47.58	"Group 1 Automotive, Inc."	NYSE	"Automotive Aftermarket"	"Consumer Durables"
1100	GPK	3/1/2000	42.41	"Graphic Packaging Holding Company"	NYSE	"Containers/Packaging"	"Consumer Durables"
1101	GPN	2/1/2001	54.34	"Global Payments Inc."	NYSE	"Business Services"	"Miscellaneous"
1102	GPOR	2/28/2006	36.74	"Gulfport Energy Corporation"	NASDAQ	"Oil & Gas Production"	"Energy"
1103	GPRE	3/15/2006	23.75	"Green Plains, Inc."	NASDAQ	"Major Chemicals"	"Basic Industries"
1104	GPRO	6/26/2014	11.7	"GoPro, Inc."	NASDAQ	"Industrial Machinery/Components"	"Miscellaneous"
1105	GPS	1/2/1998	84.32	"Gap, Inc. (The)"	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
1106	GPT	5/21/2013	11.17	"Gramercy Property Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1107	GPX	3/27/1998	11.99	"GP Strategies Corporation"	NYSE	"Other Consumer Services"	"Consumer Services"
1108	GRA	1/2/1998	54.47	"W.R. Grace & Co."	NYSE	"Major Chemicals"	"Basic Industries"
1109	GRC	1/2/1998	14.41	"Gorman-Rupp Company (The)"	AMEX	"Fluid Controls"	"Capital Goods"
1110	GRIF	1/20/2006	1.43	"Griffin Industrial Realty, Inc."	NASDAQ	"Real Estate"	"Finance"
1111	GRMN	12/8/2000	60.19	"Garmin Ltd."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
1112	GROW	2/4/2002	16.55	"U.S. Global Investors, Inc."	NASDAQ	"Investment Managers"	"Finance"
1113	GRPN	11/4/2011	21.68	"Groupon, Inc."	NASDAQ	"Advertising"	"Technology"
1114	GS	5/4/1999	84.49	"Goldman Sachs Group, Inc. (The)"	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
1115	GSAT	11/2/2006	22.64	"Globalstar, Inc."	AMEX	"Telecommunications Equipment"	"Consumer Services"
1116	GSBC	1/2/1998	9.52	"Great Southern Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
1117	GSI	10/3/2007	11.77	"General Steel Holdings, Inc. Co"	NYSE	"Steel & Iron"	"Basic Materials"
1118	GSIT	3/29/2007	7.5	"GSI Technology, Inc."	NASDAQ	"Semiconductors"	"Technology"
1119	GSM	7/30/2009	23.13	"Ferroglobe PLC"	NASDAQ	"Metal Fabrications"	"Capital Goods"
1120	GSOL	4/17/2000	15.26	"Global Sources Ltd."	NASDAQ	"Advertising"	"Consumer Services"
1121	GSS	6/19/2002	46.1	"Golden Star Resources, Ltd"	AMEX	"Precious Metals"	"Basic Industries"
1122	GST	1/5/2006	23.06	"Gastar Exploration Inc."	AMEX	"Oil & Gas Production"	"Energy"
1123	GSVC	4/28/2011	10.42	"GSV Capital Corp"	NASDAQ	""	""
1124	GT	1/2/1998	79.69	"The Goodyear Tire & Rubber Company"	NASDAQ	"Automotive Aftermarket"	"Consumer Durables"
1125	GTE	4/8/2008	27.85	"Gran Tierra Energy Inc."	AMEX	"Oil & Gas Production"	"Energy"
1126	GTLS	7/26/2006	33.29	"Chart Industries, Inc."	NASDAQ	"Metal Fabrications"	"Capital Goods"
1127	GTN	8/30/2002	31.6	"Gray Television, Inc."	NYSE	"Broadcasting"	"Consumer Services"
1128	GTS	12/7/2007	15.33	"Triple-S Management Corporation"	NYSE	"Accident &Health Insurance"	"Finance"
1129	GTXI	2/3/2004	21.35	"GTx, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
1130	GTY	1/2/1998	28.14	"Getty Realty Corporation"	NYSE	"Real Estate"	"Finance"
1131	GUID	12/13/2006	9.93	"Guidance Software, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
1132	GVA	1/2/1998	48.81	"Granite Construction Incorporated"	NYSE	"Military/Government/Technical"	"Basic Industries"
1133	GVP	1/27/1999	5.21	"GSE Systems, Inc."	AMEX	"Computer Software: Prepackaged Software"	"Technology"
1134	GWR	9/27/2002	41.39	"Genesee & Wyoming, Inc."	NYSE	"Railroads"	"Transportation"
1135	GWRE	1/25/2012	14.51	"Guidewire Software, Inc."	NYSE	"Computer Software: Prepackaged Software"	"Technology"
1136	GWW	1/2/1998	64.19	"W.W. Grainger, Inc."	NYSE	"Office Equipment/Supplies/Services"	"Consumer Services"
1137	GXP	10/1/2001	56.82	"Great Plains Energy Inc"	NYSE	"Electric Utilities: Central"	"Public Utilities"
1138	H	11/5/2009	21.96	"Hyatt Hotels Corporation"	NYSE	"Hotels/Resorts"	"Consumer Services"
1139	HA	1/2/1998	34.64	"Hawaiian Holdings, Inc."	NASDAQ	"Air Freight/Delivery Services"	"Transportation"
1140	HAE	1/2/1998	42.09	"Haemonetics Corporation"	NYSE	"Medical/Dental Instruments"	"Health Care"
1141	HAFC	1/29/2001	31.01	"Hanmi Financial Corporation"	NASDAQ	"Major Banks"	"Finance"
1142	HAIN	1/2/1998	54.17	"The Hain Celestial Group, Inc."	NASDAQ	"Packaged Foods"	"Consumer Non-Durables"
1143	HAL	1/2/1998	87.2	"Halliburton Company"	NYSE	"Oilfield Services/Equipment"	"Energy"
1144	HALL	1/2/1998	7.99	"Hallmark Financial Services, Inc."	NASDAQ	"Property-Casualty Insurers"	"Finance"
1145	HALO	11/1/2004	32.97	"Halozyme Therapeutics, Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
1146	HAR	1/2/1998	60.01	"Harman International Industries, Incorporated"	NYSE	"Consumer Electronics/Appliances"	"Consumer Non-Durables"
1147	HAS	6/23/1999	68.26	"Hasbro, Inc."	NASDAQ	"Recreational Products/Toys"	"Consumer Non-Durables"
1148	HASI	4/18/2013	6.96	"Hannon Armstrong Sustainable Infrastructure Capital, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1149	HAWK	4/19/2013	9.62	"Blackhawk Network Holdings, Inc."	NASDAQ	"Finance: Consumer Services"	"Finance"
1150	HAYN	3/21/2007	16.29	"Haynes International, Inc."	NASDAQ	"Steel/Iron Ore"	"Capital Goods"
1151	HBAN	1/2/1998	78.44	"Huntington Bancshares Incorporated"	NASDAQ	"Major Banks"	"Finance"
1152	HBCP	10/8/2008	2.23	"Home Bancorp, Inc."	NASDAQ	"Banks"	"Finance"
1153	HBHC	1/2/1998	37.83	"Hancock Holding Company"	NASDAQ	"Major Banks"	"Finance"
1154	HBI	9/6/2006	42.73	"Hanesbrands Inc."	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
1155	HBIO	3/19/2001	17.25	"Harvard Bioscience, Inc."	NASDAQ	"Biotechnology: Laboratory Analytical Instruments"	"Capital Goods"
1156	HBNC	12/5/2006	2.53	"Horizon Bancorp (IN)"	NASDAQ	"Major Banks"	"Finance"
1157	HCA	3/10/2011	23.77	"HCA Holdings, Inc."	NYSE	"Hospital/Nursing Management"	"Health Care"
1158	HCCI	3/12/2008	4.54	"Heritage-Crystal Clean, Inc."	NASDAQ	"Miscellaneous"	"Basic Industries"
1159	HCI	9/15/2008	9.88	"HCI Group, Inc."	NYSE	"Property-Casualty Insurers"	"Finance"
1160	HCKT	1/31/2008	14.52	"The Hackett Group, Inc."	NASDAQ	"Professional Services"	"Consumer Services"
1161	HCN	1/2/1998	59.66	"Welltower Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1162	HCOM	1/26/2011	2.71	"Hawaiian Telcom Holdco, Inc."	NASDAQ	"Telecommunications Equipment"	"Consumer Services"
1163	HCP	1/2/1998	63.76	"HCP, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1164	HCSG	1/2/1998	37.45	"Healthcare Services Group, Inc."	NASDAQ	"Hospital/Nursing Management"	"Health Care"
1165	HD	1/2/1998	86.31	"Home Depot, Inc. (The)"	NYSE	"RETAIL: Building Materials"	"Consumer Services"
1166	HDNG	1/6/1998	10.32	"Hardinge, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
1167	HE	1/2/1998	53.82	"Hawaiian Electric Industries, Inc."	NYSE	"Electric Utilities: Central"	"Public Utilities"
1168	HEAT	1/29/2009	7.27	"SmartHeat Inc."	NASDAQ	"Industrial Equipment & Components"	"Industrial Goods"
1169	HEB	1/2/1998	22.68	"Hemispherx BioPharma, Inc."	AMEX	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
1170	HEES	1/31/2006	27.99	"H&E Equipment Services, Inc."	NASDAQ	""	""
1171	HEI	1/29/1999	29.83	"Heico Corporation"	NYSE	"Aerospace"	"Capital Goods"
1172	HELE	1/2/1998	41.35	"Helen of Troy Limited"	NASDAQ	"Home Furnishings"	"Consumer Durables"
1173	HEOP	4/12/2005	2.8	"Heritage Oaks Bancorp"	NASDAQ	"Major Banks"	"Finance"
1174	HES	3/13/2007	42.13	"Hess Corporation"	NYSE	"Integrated oil Companies"	"Energy"
1175	HF	1/31/2007	18.14	"HFF, Inc."	NYSE	"Real Estate"	"Consumer Services"
1176	HFC	4/26/2004	51.26	"HollyFrontier Corporation"	NYSE	"Integrated oil Companies"	"Energy"
1177	HFWA	5/7/1998	7.39	"Heritage Financial Corporation"	NASDAQ	"Banks"	"Finance"
1178	HGG	7/20/2007	24.51	"HHGregg, Inc."	NYSE	"Consumer Electronics/Video Chains"	"Consumer Services"
1179	HHC	11/5/2010	13.28	"Howard Hughes Corporation (The)"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1180	HHS	1/2/1998	43.53	"Harte-Hanks, Inc."	NYSE	"Advertising"	"Technology"
1181	HI	4/1/2008	24.56	"Hillenbrand Inc"	NYSE	"Miscellaneous manufacturing industries"	"Consumer Durables"
1182	HIBB	1/2/1998	44.51	"Hibbett Sports, Inc."	NASDAQ	"Other Specialty Stores"	"Consumer Services"
1183	HIFS	11/22/2006	0.57	"Hingham Institution for Savings"	NASDAQ	""	""
1184	HIG	1/2/1998	76.81	"Hartford Financial Services Group, Inc. (The)"	NYSE	"Property-Casualty Insurers"	"Finance"
1185	HII	3/22/2011	16.85	"Huntington Ingalls Industries, Inc."	NYSE	"Marine Transportation"	"Capital Goods"
1186	HIIQ	2/8/2013	2.96	"Health Insurance Innovations, Inc."	NASDAQ	"Specialty Insurers"	"Finance"
1187	HIL	2/22/2008	13.27	"Hill International, Inc."	NYSE	"Military/Government/Technical"	"Consumer Services"
1188	HIW	1/2/1998	57.73	"Highwoods Properties, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1189	HK	7/16/2004	34.83	"Halcon Resources Corporation"	NYSE	"Oil & Gas Production"	"Energy"
1190	HL	1/2/1998	67.79	"Hecla Mining Company"	NYSE	"Mining & Quarrying of Nonmetallic Minerals (No Fuels)"	"Basic Industries"
1191	HLF	12/16/2004	45.69	"Herbalife LTD."	NYSE	"Other Pharmaceuticals"	"Health Care"
1192	HLIT	1/2/1998	59.13	"Harmonic Inc."	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
1193	HLS	10/26/2006	37.35	"HealthSouth Corporation"	NYSE	"Hospital/Nursing Management"	"Health Care"
1194	HLT	12/12/2013	11.45	"Hilton Worldwide Holdings Inc."	NYSE	"Hotels/Resorts"	"Consumer Services"
1195	HLTH	2/11/1999	43.76	"Nobilis Health Corp."	AMEX	"Hospital/Nursing Management"	"Health Care"
1196	HLX	7/18/2006	41.64	"Helix Energy Solutions Group, Inc."	NYSE	"Oilfield Services/Equipment"	"Energy"
1197	HMN	1/2/1998	41.88	"Horace Mann Educators Corporation"	NYSE	"Property-Casualty Insurers"	"Finance"
1198	HMPR	8/3/2006	6.17	"Hampton Roads Bankshares Inc"	NASDAQ	"Major Banks"	"Finance"
1199	HMST	2/14/2012	6.07	"HomeStreet, Inc."	NASDAQ	"Major Banks"	"Finance"
1200	HMSY	1/2/1998	39.24	"HMS Holdings Corp"	NASDAQ	"Business Services"	"Miscellaneous"
1201	HMTV	4/5/2013	1.77	"Hemisphere Media Group, Inc."	NASDAQ	"Television Services"	"Consumer Services"
1202	HNH	11/26/2008	3.99	"Handy & Harman Ltd."	NASDAQ	"Industrial Specialties"	"Capital Goods"
1203	HNI	7/2/1998	41.44	"HNI Corporation"	NYSE	"Office Equipment/Supplies/Services"	"Consumer Durables"
1204	HNR	5/21/2002	35.88	"Harvest Natural Resources Inc"	NYSE	"Oil & Gas Production"	"Energy"
1205	HNRG	5/21/2010	4.96	"Hallador Energy Company"	NASDAQ	"Coal Mining"	"Energy"
1206	HNSN	11/16/2006	21.34	"Hansen Medical, Inc."	NASDAQ	"Industrial Specialties"	"Health Care"
1207	HOFT	6/27/2002	16.03	"Hooker Furniture Corporation"	NASDAQ	"Home Furnishings"	"Consumer Durables"
1208	HOG	1/2/1998	76.77	"Harley-Davidson, Inc."	NYSE	"Motor Vehicles"	"Consumer Non-Durables"
1209	HOLX	1/2/1998	57.64	"Hologic, Inc."	NASDAQ	"Medical Electronics"	"Health Care"
1210	HOMB	6/23/2006	18.76	"Home BancShares, Inc."	NASDAQ	"Major Banks"	"Finance"
1211	HON	1/2/1998	79	"Honeywell International Inc."	NYSE	"Auto Parts:O.E.M."	"Capital Goods"
1212	HOS	3/26/2004	42.94	"Hornbeck Offshore Services"	NYSE	"Marine Transportation"	"Consumer Services"
1213	HOT	1/2/1998	72.75	"Starwood Hotels & Resorts Worldwide, Inc."	NYSE	"Hotels/Resorts"	"Consumer Services"
1214	HOV	3/15/2001	58.71	"Hovnanian Enterprises Inc"	NYSE	"Homebuilding"	"Capital Goods"
1215	HP	1/2/1998	68.27	"Helmerich & Payne, Inc."	NYSE	"Oil & Gas Production"	"Energy"
1216	HPP	6/24/2010	15.62	"Hudson Pacific Properties, Inc."	NYSE	"Real Estate"	"Finance"
1217	HPQ	1/2/1998	92.91	"HP Inc."	NYSE	"Computer Manufacturing"	"Technology"
1218	HPT	1/2/1998	63.65	"Hospitality Properties Trust"	NASDAQ	"Real Estate Investment Trusts"	"Consumer Services"
1219	HR	1/2/1998	55.97	"Healthcare Realty Trust Incorporated"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1220	HRB	1/2/1998	76.04	"H&R Block, Inc."	NYSE	"Other Consumer Services"	"Consumer Services"
1221	HRC	4/1/2008	29.52	"Hill-Rom Holdings Inc"	NYSE	"Medical/Dental Instruments"	"Health Care"
1222	HRG	12/24/2009	12.97	"HRG Group, Inc."	NYSE	"Industrial Machinery/Components"	"Miscellaneous"
1223	HRL	1/2/1998	59.66	"Hormel Foods Corporation"	NYSE	"Meat/Poultry/Fish"	"Consumer Non-Durables"
1224	HRS	1/2/1998	65.21	"Harris Corporation"	NYSE	"Industrial Machinery/Components"	"Capital Goods"
1225	HRZN	10/29/2010	5.85	"Horizon Technology Finance Corporation"	NASDAQ	""	""
1226	HSC	1/2/1998	53.97	"Harsco Corporation"	NYSE	"Metal Fabrications"	"Capital Goods"
1227	HSIC	1/2/1998	60.03	"Henry Schein, Inc."	NASDAQ	"Medical Specialities"	"Health Care"
1228	HSII	4/27/1999	33.34	"Heidrick & Struggles International, Inc."	NASDAQ	"Diversified Commercial Services"	"Technology"
1229	HSNI	8/21/2008	25.75	"HSN, Inc."	NASDAQ	"Other Specialty Stores"	"Consumer Services"
1230	HST	4/18/2006	48.88	"Host Hotels & Resorts, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1231	HSTM	4/11/2000	12.76	"HealthStream, Inc."	NASDAQ	"Computer Software: Programming, Data Processing"	"Technology"
1232	HSY	1/2/1998	70.59	"Hershey Company (The)"	NYSE	"Specialty Foods"	"Consumer Non-Durables"
1233	HT	1/21/1999	36.72	"Hersha Hospitality Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1234	HTA	6/6/2012	15.44	"Healthcare Trust of America, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1235	HTBI	7/11/2012	3.67	"HomeTrust Bancshares, Inc."	NASDAQ	"Savings Institutions"	"Finance"
1236	HTBK	7/31/1998	9.62	"Heritage Commerce Corp"	NASDAQ	"Major Banks"	"Finance"
1237	HTCH	1/2/1998	43.55	"Hutchinson Technology Incorporated"	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
1238	HTCO	1/2/1998	6.15	"Hickory Tech Corporation"	NASDAQ	"Telecom Services - Domestic"	"Technology"
1239	HTGC	6/9/2005	29.47	"Hercules Capital, Inc."	NYSE	""	""
1240	HTH	8/1/2007	23.2	"Hilltop Holdings Inc."	NYSE	"Major Banks"	"Finance"
1241	HTLD	1/2/1998	52.31	"Heartland Express, Inc."	NASDAQ	"Trucking Freight/Courier Services"	"Transportation"
1242	HTLF	5/15/2003	8.7	"Heartland Financial USA, Inc."	NASDAQ	"Major Banks"	"Finance"
1243	HTM	4/16/2008	11.5	"U.S. Geothermal Inc."	AMEX	"Electric Utilities: Central"	"Public Utilities"
1244	HTS	4/30/2008	33.9	"Hatteras Financial Corp Hattera"	NYSE	"REIT - Residential"	"Financial"
1245	HTWR	2/25/2009	15.43	"Heartware International, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
1246	HTZ	11/16/2006	42.14	"Hertz Global Holdings, Inc"	NYSE	"Rental/Leasing Companies"	"Consumer Services"
1247	HUBG	1/2/1998	37.89	"Hub Group, Inc."	NASDAQ	"Oil Refining/Marketing"	"Transportation"
1248	HUM	1/2/1998	72.36	"Humana Inc."	NYSE	"Medical Specialities"	"Health Care"
1249	HUN	2/14/2005	50.24	"Huntsman Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
1250	HURC	1/2/1998	14.7	"Hurco Companies, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
1251	HURN	10/13/2004	27.44	"Huron Consulting Group Inc."	NASDAQ	"Professional Services"	"Consumer Services"
1252	HUSA	7/5/2007	11.6	"Houston American Energy Corporation"	AMEX	"Oil & Gas Production"	"Energy"
1253	HVT	8/28/1998	28.33	"Haverty Furniture Companies, Inc."	NYSE	"Other Specialty Stores"	"Consumer Services"
1254	HW	4/6/2005	39.6	"Headwaters Incorporated"	NYSE	"Building Materials"	"Capital Goods"
1255	HWAY	2/1/2006	30.87	"Healthways, Inc."	NASDAQ	"Hospital/Nursing Management"	"Health Care"
1256	HWCC	6/15/2006	18.8	"Houston Wire & Cable Company"	NASDAQ	"Telecommunications Equipment"	"Consumer Non-Durables"
