ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
288	BCR	1/2/1998	63.02	"C.R. Bard, Inc."	NYSE	"Medical/Dental Instruments"	"Health Care"
289	BCRX	1/2/1998	36.26	"BioCryst Pharmaceuticals, Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
290	BDC	7/16/2004	38.44	"Belden Inc"	NYSE	"Telecommunications Equipment"	"Basic Industries"
291	BDE	5/6/2005	22.39	"Black Diamond, Inc."	NASDAQ	"Recreational Products/Toys"	"Consumer Non-Durables"
292	BDGE	9/27/2002	3.67	"Bridge Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
293	BDN	1/2/1998	57.63	"Brandywine Realty Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
294	BDSI	7/25/2002	19.23	"BioDelivery Sciences International, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
295	BDX	1/2/1998	73.11	"Becton, Dickinson and Company"	NYSE	"Medical/Dental Instruments"	"Health Care"
296	BEAT	3/19/2008	18.31	"BioTelemetry, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
297	BEAV	1/2/1998	62.02	"B/E Aerospace, Inc."	NASDAQ	"Industrial Specialties"	"Consumer Durables"
298	BEBE	6/17/1998	51.57	"bebe stores, inc."	NASDAQ	"Apparel"	"Consumer Non-Durables"
299	BECN	9/23/2004	39.17	"Beacon Roofing Supply, Inc."	NASDAQ	"RETAIL: Building Materials"	"Consumer Services"
300	BEL	8/10/2000	39.72	"Belmond Ltd."	NYSE	"Hotels/Resorts"	"Consumer Services"
301	BELFB	7/10/1998	13.81	"Bel Fuse Inc."	NASDAQ	"Electrical Products"	"Capital Goods"
302	BEN	1/2/1998	73.15	"Franklin Resources, Inc."	NYSE	"Investment Managers"	"Finance"
303	BERY	10/4/2012	14.08	"BPC Acquisition Corp"	NYSE	"Plastic Products"	"Consumer Non-Durables"
304	BF.B	1/2/1998	53.98	"Brown Forman Corporation"	NYSE	""	""
305	BFAM	1/25/2013	7.13	"Bright Horizons Family Solutions Inc."	NYSE	"Other Consumer Services"	"Miscellaneous"
306	BFIN	6/28/2005	10.29	"BankFinancial Corporation"	NASDAQ	"Savings Institutions"	"Finance"
307	BFS	1/2/1998	15.83	"Saul Centers, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
308	BG	8/2/2001	55.7	"Bunge Limited"	NYSE	"Packaged Foods"	"Consumer Non-Durables"
309	BGC	7/6/1999	52.74	"General Cable Corporation"	NYSE	"Telecommunications Equipment"	"Basic Industries"
310	BGCP	4/2/2008	30.95	"BGC Partners, Inc."	NASDAQ	"Investment Bankers/Brokers/Service"	"Finance"
311	BGFV	10/6/2005	25.48	"Big 5 Sporting Goods Corporation"	NASDAQ	"Other Specialty Stores"	"Consumer Services"
312	BGG	1/2/1998	55.22	"Briggs & Stratton Corporation"	NYSE	"Industrial Machinery/Components"	"Energy"
313	BGMD	2/4/2011	5.26	"BG Medicine, Inc."	NASDAQ	"Medical Laboratories & Research"	"Healthcare"
314	BGS	5/23/2007	26.51	"B&G Foods, Inc."	NYSE	"Packaged Foods"	"Consumer Non-Durables"
315	BH	8/4/2009	7.92	"Biglari Holdings Inc."	NYSE	"Restaurants"	"Consumer Services"
316	BHB	12/29/2003	1.76	"Bar Harbor Bankshares, Inc."	AMEX	"Major Banks"	"Finance"
317	BHE	1/2/1998	51.34	"Benchmark Electronics, Inc."	NYSE	"Electrical Products"	"Technology"
318	BHI	1/2/1998	79.26	"Baker Hughes Incorporated"	NYSE	"Metal Fabrications"	"Energy"
319	BHLB	10/25/2005	13.26	"Berkshire Hills Bancorp, Inc."	NYSE	"Banks"	"Finance"
320	BID	1/2/1998	59.06	"Sotheby's"	NYSE	"Business Services"	"Miscellaneous"
321	BIDU	8/5/2005	59.1	"Baidu, Inc."	NASDAQ	"Computer Software: Programming, Data Processing"	"Technology"
322	BIG	8/18/2006	41.72	"Big Lots, Inc."	NYSE	"Department/Specialty Retail Stores"	"Consumer Services"
323	BIIB	1/2/1998	80.29	"Biogen Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
324	BIO	5/10/2002	26.52	"Bio-Rad Laboratories, Inc."	NYSE	"Biotechnology: Laboratory Analytical Instruments"	"Capital Goods"
325	BIOD	5/11/2007	14.89	"Biodel Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
326	BIOL	1/2/1998	28.1	"Biolase, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
327	BIOS	3/14/2005	29.55	"BioScrip, Inc."	NASDAQ	"Medical/Nursing Services"	"Health Care"
328	BJRI	8/16/2004	32.61	"BJ's Restaurants, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
329	BK	1/2/1998	80.1	"Bank Of New York Mellon Corporation (The)"	NYSE	"Major Banks"	"Finance"
330	BKCC	6/27/2007	25.44	"BlackRock Capital Investment Corporation"	NASDAQ	""	""
331	BKD	11/22/2005	39.95	"Brookdale Senior Living Inc."	NYSE	"Hospital/Nursing Management"	"Health Care"
332	BKE	1/2/1998	40.57	"Buckle, Inc. (The)"	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
333	BKH	1/2/1998	46.24	"Black Hills Corporation"	NYSE	"Electric Utilities: Central"	"Public Utilities"
334	BKMU	3/6/2001	27.31	"Bank Mutual Corporation"	NASDAQ	"Savings Institutions"	"Finance"
335	BKS	1/2/1998	69.71	"Barnes & Noble, Inc."	NYSE	"Other Specialty Stores"	"Consumer Services"
336	BKU	1/28/2011	18.04	"BankUnited, Inc."	NYSE	"Savings Institutions"	"Finance"
337	BLDR	6/28/2005	25.45	"Builders FirstSource, Inc."	NASDAQ	"RETAIL: Building Materials"	"Consumer Services"
338	BLK	10/1/1999	50.49	"BlackRock, Inc."	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
339	BLKB	7/26/2004	32.28	"Blackbaud, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
340	BLL	1/2/1998	64.63	"Ball Corporation"	NYSE	"Containers/Packaging"	"Consumer Durables"
341	BLMN	8/8/2012	15.32	"Bloomin' Brands, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
342	BLOX	4/20/2012	15.01	"Infoblox Inc."	NYSE	"EDP Services"	"Technology"
